{'title': '花椒之味', 'rate': '7.2', 'url': 'https://movie.douban.com/subject/26935296/'}
{'title': '金发男子', 'rate': '8.0', 'url': 'https://movie.douban.com/subject/27594856/'}
{'title': '极限逃生', 'rate': '7.6', 'url': 'https://movie.douban.com/subject/30210691/'}
{'title': '仲夏夜惊魂', 'rate': '6.5', 'url': 'https://movie.douban.com/subject/30288638/'}
{'title': '在黑暗中讲述的恐怖故事', 'rate': '6.1', 'url': 'https://movie.douban.com/subject/26278747/'}
{'title': '飞驰人生', 'rate': '6.9', 'url': 'https://movie.douban.com/subject/30163509/'}
{'title': '坏家伙们', 'rate': '6.5', 'url': 'https://movie.douban.com/subject/30249076/'}
{'title': '白蛇：缘起', 'rate': '7.9', 'url': 'https://movie.douban.com/subject/30331149/'}
{'title': '使徒行者2：谍影行动', 'rate': '6.3', 'url': 'https://movie.douban.com/subject/30423193/'}
{'title': '好小子们', 'rate': '7.2', 'url': 'https://movie.douban.com/subject/27115166/'}
{'title': '海王', 'rate': '7.6', 'url': 'https://movie.douban.com/subject/3878007/'}
{'title': '地久天长', 'rate': '7.9', 'url': 'https://movie.douban.com/subject/26715636/'}
{'title': '愤怒的小鸟2', 'rate': '7.1', 'url': 'https://movie.douban.com/subject/26863060/'}
{'title': '大侦探皮卡丘', 'rate': '6.5', 'url': 'https://movie.douban.com/subject/26835471/'}
{'title': '速度与激情：特别行动', 'rate': '6.3', 'url': 'https://movie.douban.com/subject/27163278/'}
{'title': '我在雨中等你', 'rate': '8.0', 'url': 'https://movie.douban.com/subject/3882427/'}
{'title': '阿丽塔：战斗天使', 'rate': '7.5', 'url': 'https://movie.douban.com/subject/1652592/'}
{'title': '波西米亚狂想曲', 'rate': '8.7', 'url': 'https://movie.douban.com/subject/5300054/'}
{'title': '蜘蛛侠：英雄远征', 'rate': '7.8', 'url': 'https://movie.douban.com/subject/26931786/'}
{'title': '一条狗的使命2', 'rate': '6.9', 'url': 'https://movie.douban.com/subject/27074316/'}
{'title': '罗小黑战记', 'rate': '8.2', 'url': 'https://movie.douban.com/subject/26709258/'}
{'title': '续命之徒：绝命毒师电影', 'rate': '8.2', 'url': 'https://movie.douban.com/subject/30372377/'}
{'title': '卢斯', 'rate': '7.6', 'url': 'https://movie.douban.com/subject/27195204/'}
{'title': '大西洋', 'rate': '6.4', 'url': 'https://movie.douban.com/subject/33413905/'}
{'title': '花生酱猎鹰', 'rate': '7.9', 'url': 'https://movie.douban.com/subject/27035542/'}
{'title': '哪吒之魔童降世', 'rate': '8.5', 'url': 'https://movie.douban.com/subject/26794435/'}
{'title': '送我上青云', 'rate': '7.2', 'url': 'https://movie.douban.com/subject/27180759/'}
{'title': '寄生虫', 'rate': '8.7', 'url': 'https://movie.douban.com/subject/27010768/'}
{'title': '诛仙 Ⅰ', 'rate': '5.0', 'url': 'https://movie.douban.com/subject/25779217/'}
{'title': '狮子王', 'rate': '7.4', 'url': 'https://movie.douban.com/subject/26884354/'}
{'title': '小丑回魂2', 'rate': '6.4', 'url': 'https://movie.douban.com/subject/27133569/'}
{'title': '安娜', 'rate': '7.7', 'url': 'https://movie.douban.com/subject/27166976/'}
{'title': '银河补习班', 'rate': '6.2', 'url': 'https://movie.douban.com/subject/30282387/'}
{'title': '烈火英雄', 'rate': '6.5', 'url': 'https://movie.douban.com/subject/30221757/'}
{'title': '恶人传', 'rate': '7.7', 'url': 'https://movie.douban.com/subject/30211551/'}
{'title': '无名之辈', 'rate': '8.1', 'url': 'https://movie.douban.com/subject/27110296/'}
{'title': '流浪地球', 'rate': '7.9', 'url': 'https://movie.douban.com/subject/26266893/'}
{'title': '疯狂的外星人', 'rate': '6.4', 'url': 'https://movie.douban.com/subject/25986662/'}
{'title': '柳烈的音乐专辑', 'rate': '7.9', 'url': 'https://movie.douban.com/subject/30225296/'}
{'title': '玩具总动员4', 'rate': '8.7', 'url': 'https://movie.douban.com/subject/6850547/'}
{'title': 'X战警：黑凤凰', 'rate': '5.9', 'url': 'https://movie.douban.com/subject/26667010/'}
{'title': '沉默的证人', 'rate': '5.4', 'url': 'https://movie.douban.com/subject/26816090/'}
{'title': '蜘蛛侠：平行宇宙', 'rate': '8.6', 'url': 'https://movie.douban.com/subject/26374197/'}
{'title': '疾速备战', 'rate': '7.8', 'url': 'https://movie.douban.com/subject/26909790/'}
{'title': '高草丛中', 'rate': '6.3', 'url': 'https://movie.douban.com/subject/26419635/'}
{'title': '风中有朵雨做的云', 'rate': '7.2', 'url': 'https://movie.douban.com/subject/26728669/'}
{'title': '保持沉默', 'rate': '5.4', 'url': 'https://movie.douban.com/subject/26331839/'}
{'title': '爱宠大机密2', 'rate': '7.0', 'url': 'https://movie.douban.com/subject/26848167/'}
{'title': '名侦探柯南：绀青之拳', 'rate': '6.0', 'url': 'https://movie.douban.com/subject/30208010/'}
{'title': '我身体里的那个家伙', 'rate': '7.2', 'url': 'https://movie.douban.com/subject/27088750/'}
{'title': '自卫的艺术', 'rate': '7.3', 'url': 'https://movie.douban.com/subject/27138615/'}
{'title': '我的一级兄弟', 'rate': '8.3', 'url': 'https://movie.douban.com/subject/30143333/'}
{'title': '神奇动物：格林德沃之罪', 'rate': '7.1', 'url': 'https://movie.douban.com/subject/26147417/'}
{'title': '小Q', 'rate': '6.8', 'url': 'https://movie.douban.com/subject/30376977/'}
{'title': '阿拉丁', 'rate': '7.6', 'url': 'https://movie.douban.com/subject/26891256/'}
{'title': '禁闭男童', 'rate': '6.2', 'url': 'https://movie.douban.com/subject/27005769/'}
{'title': '断裂', 'rate': '6.7', 'url': 'https://movie.douban.com/subject/30366084/'}
{'title': '在无爱之森呐喊', 'rate': '6.7', 'url': 'https://movie.douban.com/subject/30337760/'}
{'title': '复仇者联盟4：终局之战', 'rate': '8.5', 'url': 'https://movie.douban.com/subject/26100958/'}
{'title': '无敌破坏王2：大闹互联网', 'rate': '8.1', 'url': 'https://movie.douban.com/subject/20438964/'}
{'title': '小怪物', 'rate': '6.3', 'url': 'https://movie.douban.com/subject/27185605/'}
